C: Jonah Heim (TEX)
1B: Yandy Díaz (TB)
2B: Marcus Semien (TEX)
3B: Josh Jung (TEX)
SS: Corey Seager (TEX)
OF: Mike Trout (LAA)*
OF: Randy Arozarena (TB)
OF: Aaron Judge (NYY)*
DH: Shohei Ohtani (LAA)
C: Salvador Perez (KC)
C: Adley Rutschman (BAL)
IF: Vladimir Guerrero Jr. (TOR)
IF: Whit Merrifield (TOR)
IF: Bo Bichette (TOR)
IF: José Ramírez (CLE)
IF: Wander Franco (TB)+
OF: Luis Robert Jr. (CWS)
OF: Austin Hays (BAL)
OF: Yordan Alvarez (HOU)*
OF: Adolis García (TEX)
OF: Kyle Tucker (HOU)+
OF: Julio Rodríguez (SEA)+
DH: Brent Rooker (OAK)
RHP: Shohei Ohtani (LAA)
RHP: Gerrit Cole (NYY)
RHP: Luis Castillo (SEA)
RHP: Sonny Gray (MIN)
RHP: Nathan Eovaldi (TEX)
RHP: Kevin Gausman (TOR)
LHP: Shane McClanahan (TB)*
LHP: Framber Valdez (HOU)*
RHP: Michael Lorenzen (DET)
RHP: George Kirby (SEA)+
RHP: Pablo López (MIN)+
RHP: Jordan Romano (TOR)+
RHP: Kenley Jansen (BOS)
RHP: Emmanuel Clase (CLE)*
RHP: Félix Bautista (BAL)
RHP: Yennier Cano (BAL)
RHP: Carlos Estévez (LAA)+
C: Sean Murphy (ATL)
1B: Freddie Freeman (LAD)
2B: Luis Arraez (MIA)
3B: Nolan Arenado (STL)
SS: Orlando Arcia (ATL)
OF: Ronald Acuña Jr. (ATL)
OF: Mookie Betts (LAD)
OF: Corbin Carroll (AZ)
DH: J.D. Martinez (LAD)
C: Will Smith (LAD)
C: Elias Díaz (COL)
IF: Matt Olson (ATL)
IF: Ozzie Albies (ATL)
IF: Austin Riley (ATL)
IF: Dansby Swanson (CHC)*
IF: Pete Alonso (NYM)
IF: Geraldo Perdomo (AZ)+
OF: Lourdes Gurriel Jr. (AZ)
OF: Nick Castellanos (PHI)
OF: Juan Soto (SD)
DH: Jorge Soler (MIA)
RHP: Zac Gallen (AZ)
RHP: Spencer Strider (ATL)*
RHP: Bryce Elder (ATL)*
LHP: Justin Steele (CHC)
RHP: Mitch Keller (PIT)
RHP: Josiah Gray (WSH)
LHP: Clayton Kershaw (LAD)*
RHP: Marcus Stroman (CHC)*
RHP: Kodai Senga (NYM)+
RHP: Alex Cobb (SF)+
RHP: Corbin Burnes (MIL)+
RHP: Alexis Díaz (CIN)
LHP: Josh Hader (SD)
RHP: Devin Williams (MIL)*
RHP: Camilo Doval (SF)
RHP: David Bednar (PIT)+
RHP: Craig Kimbrel (PHI)+
