"fixed","align-left","align-left href","align-left 2","align-left href 2","align-right","align-right 2","align-right 3","align-right 5"
"1","Shohei Ohtani","https://www.fangraphs.com/players/shohei-ohtani/19755/stats","LAA","https://www.fangraphs.com/teams/angels","398","100.1","4.3","6.0"
"2","Ronald Acuña Jr.","https://www.fangraphs.com/players/ronald-acuna-jr/18401/stats","ATL","https://www.fangraphs.com/teams/braves","409","4.8","","4.8"
"3","Mookie Betts","https://www.fangraphs.com/players/mookie-betts/13611/stats","LAD","https://www.fangraphs.com/teams/dodgers","396","4.2","","4.2"
"4","Kevin Gausman","https://www.fangraphs.com/players/kevin-gausman/14107/stats","TOR","https://www.fangraphs.com/teams/blue-jays","115.2","0.0","4.0","4.0"
"5","Sean Murphy","https://www.fangraphs.com/players/sean-murphy/19352/stats","ATL","https://www.fangraphs.com/teams/braves","270","3.9","","3.9"
"6","Freddie Freeman","https://www.fangraphs.com/players/freddie-freeman/5361/stats","LAD","https://www.fangraphs.com/teams/dodgers","407","3.8","","3.8"
"7","Wander Franco","https://www.fangraphs.com/players/wander-franco/23667/stats","TBR","https://www.fangraphs.com/teams/rays","379","3.8","","3.8"
"8","Corbin Carroll","https://www.fangraphs.com/players/corbin-carroll/25878/stats","ARI","https://www.fangraphs.com/teams/diamondbacks","349","3.8","","3.8"
"9","Luis Robert Jr.","https://www.fangraphs.com/players/luis-robert/20043/stats","CHW","https://www.fangraphs.com/teams/white-sox","375","3.7","","3.7"
"10","Zac Gallen","https://www.fangraphs.com/players/zac-gallen/19291/stats","ARI","https://www.fangraphs.com/teams/diamondbacks","118.1","0.0","3.7","3.7"
"11","Zack Wheeler","https://www.fangraphs.com/players/zack-wheeler/10310/stats","PHI","https://www.fangraphs.com/teams/phillies","104.1","0.0","3.5","3.5"
"12","Adolis García","https://www.fangraphs.com/players/adolis-garcia/19287/stats","TEX","https://www.fangraphs.com/teams/rangers","393","3.4","","3.4"
"13","José Ramírez","https://www.fangraphs.com/players/jose-ramirez/13510/stats","CLE","https://www.fangraphs.com/teams/guardians","385","3.4","","3.4"
"14","Fernando Tatis Jr.","https://www.fangraphs.com/players/fernando-tatis-jr/19709/stats","SDP","https://www.fangraphs.com/teams/padres","325","3.4","","3.4"
"15","Marcus Semien","https://www.fangraphs.com/players/marcus-semien/12533/stats","TEX","https://www.fangraphs.com/teams/rangers","430","3.3","","3.3"
"16","Corey Seager","https://www.fangraphs.com/players/corey-seager/13624/stats","TEX","https://www.fangraphs.com/teams/rangers","269","3.3","","3.3"
"17","Juan Soto","https://www.fangraphs.com/players/juan-soto/20123/stats","SDP","https://www.fangraphs.com/teams/padres","396","3.3","","3.3"
"18","Jonah Heim","https://www.fangraphs.com/players/jonah-heim/16930/stats","TEX","https://www.fangraphs.com/teams/rangers","317","3.3","","3.3"
"19","Framber Valdez","https://www.fangraphs.com/players/framber-valdez/17295/stats","HOU","https://www.fangraphs.com/teams/astros","111.0","0.0","3.2","3.2"
"20","Mike Trout","https://www.fangraphs.com/players/mike-trout/10155/stats","LAA","https://www.fangraphs.com/teams/angels","358","3.1","","3.1"
