Best Average Season WAR, minimum 50 career WAR
20597 rows

    # name                    avg war        war seasons             teams
  #1: Jim Devlin                15.85       31.7       2 (1876-1877) LOU
  #2: Sam Weaver                10.16      10.16       1 (1878-1878) MLG
  #3: Babe Ruth                   8.3     182.62      22 (1914-1935) BOS,NYY,BSN
  #4: Walter Johnson             8.02     168.35      21 (1907-1927) WSH
  #5: Charlie Ferguson           7.91      31.66       4 (1884-1887) PHI
  #6: Kid Nichols                7.87     118.11      15 (1890-1906) BSN,STL,PHI
  #7: Cy Young                   7.41     163.02      22 (1890-1911) CLV,STL,BOS,CLE,BSN
  #8: Barry Bonds                 7.4     162.78      22 (1986-2007) PIT,SFG
  #9: Tommy Bond                 7.13      49.88       7 (1876-1882) HAR,BSN,WOR
 #10: Willie Mays                 7.1     156.24      22 (1951-1973) NYG,SFG,NYM
 #11: John Clarkson              6.89      82.62      12 (1882-1894) WOR,CHC,BSN,CLV
 #12: Jim McCormick              6.86      68.62      10 (1878-1887) IND,CLV,CHC,PRO,PIT
 #13: Lou Gehrig                 6.68     113.51      17 (1923-1939) NYY
 #14: Ben Sanders                6.54      19.63       3 (1888-1892) PHI,LOU
 #15: Amos Rusie                 6.54      65.37      10 (1889-1901) NYG,CIN,IND
 #16: Ted Williams               6.41     121.73      19 (1939-1960) BOS
 #17: Shohei Ohtani              6.35      57.12       9 (2018-2026) LAA,LAD
 #18: Honus Wagner               6.32     132.75      21 (1897-1917) PIT,LOU
 #19: Christy Mathewson          6.31     107.28      17 (1900-1916) NYG,CIN
 #20: Lefty Grove                6.28     106.76      17 (1925-1941) PHA,BOS
 #21: Ty Cobb                    6.24     149.84      24 (1905-1928) DET,PHA
 #22: Henry Aaron                6.23     143.22      23 (1954-1976) MLN,ATL,MIL
 #23: Tris Speaker               6.19     136.07      22 (1907-1928) BOS,CLE,WSH,PHA
 #24: Jackie Robinson            6.18      61.82      10 (1947-1956) BRO
 #25: Jim Whitney                6.17      55.49       9 (1881-1889) BSN,KCN,WHS,IND
 #26: Old Hoss Radbourn          6.15      67.62      11 (1880-1891) PRO,BSN,CIN,BUF
 #27: Mickey Mantle              6.13     110.26      18 (1951-1968) NYY
 #28: Joe DiMaggio               6.07      78.92      13 (1936-1951) NYY
 #29: Grover Alexander           5.99     119.89      20 (1911-1930) PHI,CHC,STL
 #30: Mike Schmidt               5.94     106.88      18 (1972-1989) PHI
 #31: Mookie Betts               5.92       77.0      13 (2014-2026) BOS,LAD
 #32: Joe McGinnity              5.91      59.13      10 (1899-1908) BLN,BRO,BLA,NYG
 #33: Aaron Judge                5.85      64.34      11 (2016-2026) NYY
 #34: Stan Musial                5.84     128.54      22 (1941-1963) STL
 #35: Roger Clemens               5.8     139.22      24 (1984-2007) TOR,NYY,HOU,BOS
 #36: Pud Galvin                 5.75       69.0      12 (1879-1892) BUF,PIT,STL
 #37: Russ Ford                  5.72      28.58       5 (1909-1913) NYY
 #38: Mike Trout                 5.65      90.42      16 (2011-2026) LAA
 #39: Eddie Mathews              5.65      96.01      17 (1952-1968) BSN,MLN,ATL,DET,HOU
 #40: Charlie Buffinton           5.6      50.41       9 (1882-1892) BSN,PHI,BLN
 #41: John Ewing                 5.58       5.58       1 (1891-1891) NYG
 #42: Arky Vaughan               5.55      77.71      14 (1932-1948) PIT,BRO
 #43: Rogers Hornsby             5.54      127.4      23 (1915-1937) STL,NYG,BSN,CHC,SLB
 #44: Tom Seaver                 5.52     110.37      20 (1967-1986) NYM,CIN,CHW,BOS
 #45: Noodles Hahn               5.49      43.93       8 (1899-1906) CIN,NYY
 #46: Paul Skenes                5.38      16.14       3 (2024-2026) PIT
 #47: Bobby Witt Jr.             5.37      26.87       5 (2022-2026) KCR
 #48: Alex Rodriguez             5.34     117.41      22 (1994-2016) SEA,TEX,NYY
 #49: Jeff Bagwell               5.33      79.88      15 (1991-2005) HOU
 #50: Roberto Clemente           5.28      94.96      18 (1955-1972) PIT
 #51: Eddie Plank                5.26      84.23      16 (1901-1917) PHA,SLB
 #52: Bob Gibson                 5.25      89.21      17 (1959-1975) STL
 #53: Jersey Bakley              5.22       5.22       1 (1889-1889) CLV
 #54: Nap Lajoie                 5.18      108.7      21 (1896-1916) PHI,PHA,CLE
 #55: Frank Robinson             5.11     107.24      21 (1956-1976) CIN,BAL,LAD,CAL,CLE
 #56: Wade Boggs                 5.08      91.44      18 (1982-1999) NYY,TBD,BOS
 #57: Billy Hamilton             5.07      60.86      12 (1890-1901) BSN,PHI
 #58: Joe Gordon                 5.05       55.5      11 (1938-1950) NYY,CLE
 #59: Addie Joss                 5.04      45.35       9 (1902-1910) CLE
 #60: Mel Ott                    5.03     110.71      22 (1926-1947) NYG
 #61: Julio Rodríguez            5.03      25.15       5 (2022-2026) SEA
 #62: Juan Soto                  5.02      45.16       9 (2018-2026) WSN,SDP,NYY,NYM
 #63: Theodore Breitenstein       4.97      49.65      10 (1892-1901) CIN,STL
 #64: Eddie Collins              4.95     123.71      25 (1906-1930) PHA,CHW
 #65: Tim Keefe                  4.88      53.73      11 (1880-1893) TRO,NYG,PHI
 #66: Vic Willis                 4.88      63.44      13 (1898-1910) BSN,PIT,STL
 #67: Bill Hutchison             4.87      38.94       8 (1889-1897) CHC,STL
