Best Career WAR \u2014 Boston Red Sox, minimum 50 career WAR
2001 rows

    # name                        war seasons             teams
  #1: Babe Ruth                182.62      22 (1914-1935) BOS,NYY,BSN
  #2: Cy Young                 163.02      22 (1890-1911) CLV,STL,BOS,CLE,BSN
  #3: Roger Clemens            139.22      24 (1984-2007) BOS,TOR,NYY,HOU
  #4: Tris Speaker             136.07      22 (1907-1928) BOS,CLE,WSH,PHA
  #5: Ted Williams             121.73      19 (1939-1960) BOS
  #6: Rickey Henderson         111.18      25 (1979-2003) OAK,NYY,TOR,SDP,ANA,NYM,SEA,BOS,LAD
  #7: Tom Seaver               110.37      20 (1967-1986) NYM,CIN,CHW,BOS
  #8: Lefty Grove              106.76      17 (1925-1941) PHA,BOS
  #9: Carl Yastrzemski          96.41      23 (1961-1983) BOS
 #10: Adrian Beltré             93.72      21 (1998-2018) LAD,SEA,BOS,TEX
 #11: Jimmie Foxx               92.72      20 (1925-1945) BOS,PHI,PHA,CHC
 #12: Wade Boggs                91.44      18 (1982-1999) NYY,TBD,BOS
 #13: Fergie Jenkins            84.31      19 (1965-1983) PHI,CHC,TEX,BOS
 #14: Pedro Martínez             83.9      18 (1992-2009) LAD,MON,BOS,NYM,PHI
 #15: Curt Schilling            79.59      20 (1988-2007) BAL,HOU,PHI,ARI,BOS
 #16: Mookie Betts               77.0      13 (2014-2026) BOS,LAD
 #17: Red Ruffing                70.3      22 (1924-1947) BOS,NYY,CHW
 #18: Manny Ramirez             69.33      19 (1993-2011) CLE,BOS,LAD,CHW,TBR
 #19: John Smoltz               68.88      21 (1988-2009) ATL,BOS,STL
 #20: Carlton Fisk              68.45      24 (1969-1993) BOS,CHW
 #21: Al Simmons                68.24      20 (1924-1944) PHA,CHW,DET,WSH,BSN,CIN,BOS
 #22: Dwight Evans              67.16      20 (1972-1991) BOS,BAL
 #23: Luis Tiant                66.06      19 (1964-1982) CLE,MIN,BOS,NYY,PIT,CAL
 #24: Andre Dawson              64.82      21 (1976-1996) MON,CHC,BOS,FLA
 #25: Joe Cronin                64.64      20 (1926-1945) PIT,WSH,BOS
 #26: Reggie Smith              64.58      17 (1966-1982) BOS,STL,LAD,SFG
 #27: Lou Boudreau              63.01      15 (1938-1952) CLE,BOS
 #28: Juan Marichal             62.82      16 (1960-1975) SFG,BOS,LAD
 #29: David Cone                 62.0      17 (1986-2003) NYM,TOR,KCR,NYY,BOS
 #30: Wes Ferrell               61.75      15 (1927-1941) CLE,BOS,WSH,NYY,BSN,BRO
 #31: Dennis Eckersley          61.62      24 (1975-1998) OAK,STL,BOS,CHC,CLE
 #32: Jesse Burkett             60.82      16 (1890-1905) SLB,CLV,STL,BOS,NYG
 #33: Chris Sale                60.68      16 (2010-2026) CHW,BOS,ATL
 #34: Eddie Cicotte             59.03      14 (1905-1920) DET,BOS,CHW
 #35: Bret Saberhagen           58.73      16 (1984-2001) KCR,NYM,COL,BOS
 #36: John Olerud               58.14      17 (1989-2005) TOR,NYM,SEA,NYY,BOS
 #37: Frank Tanana              57.19      21 (1973-1993) DET,NYY,NYM,CAL,BOS,TEX
 #38: Johnny Damon              56.33      18 (1995-2012) KCR,OAK,BOS,NYY,DET,TBR,CLE
 #39: Luis Aparicio             55.86      18 (1956-1973) CHW,BAL,BOS
 #40: Bob Johnson               55.47      13 (1933-1945) PHA,WSH,BOS
 #41: David Ortiz               55.04      20 (1997-2016) MIN,BOS
 #42: Bucky Walters             54.08      19 (1931-1950) BOS,PHI,CIN,BSN
 #43: Tony Pérez                53.94      23 (1964-1986) CIN,MON,BOS,PHI
 #44: Ian Kinsler               53.82      14 (2006-2019) SDP,TEX,DET,BOS,LAA
 #45: Jimmy Collins             53.25      14 (1895-1908) BSN,BOS,PHA,LOU
 #46: David Wells                53.2      21 (1987-2007) TOR,DET,CIN,BAL,NYY,CHW,SDP,BOS,LAD
 #47: Harry Hooper              53.16      17 (1909-1925) BOS,CHW
 #48: Jack Clark                53.08      18 (1975-1992) SFG,STL,NYY,SDP,BOS
 #49: Dustin Pedroia            51.83      14 (2006-2019) BOS
 #50: Carl Mays                 51.43      15 (1915-1929) BOS,NYY,CIN,NYG
 #51: Waite Hoyt                51.27      21 (1918-1938) BOS,NYY,NYG,DET,PHA,BRO,PIT
 #52: Bobby Doerr               51.24      14 (1937-1951) BOS
 #53: Orlando Cepeda            50.18      17 (1958-1974) SFG,STL,ATL,OAK,BOS,KCR
 #54: Fred Lynn                 50.17      17 (1974-1990) BOS,CAL,BAL,DET,SDP
 #55: Wilbur Wood               49.93      17 (1961-1978) BOS,PIT,CHW
 #56: Dizzy Trout               49.89      15 (1939-1957) DET,BOS,BAL
 #57: Ellis Burks               49.81      18 (1987-2004) BOS,CHW,COL,SFG,CLE
 #58: Jamie Moyer               49.67      25 (1986-2012) CHC,STL,TEX,BAL,BOS,SEA,PHI,COL
 #59: Jack Quinn                49.35      21 (1909-1933) NYY,BSN,CHW,BOS,PHA,BRO,CIN
 #60: Bobby Veach                49.1      14 (1912-1925) DET,BOS,NYY,WSH
