Best rosters by franchise 
64 rows

 #1: 1928 pha  1133.0
 #2: 2005 nyy  1101.0
 #3: 1996 cle   947.0
 #4: 1972 lad   929.0
 #5: 1959 mln   892.0
 #6: 1927 wsh   884.0
 #7: 1992 tor   872.0
 #8: 1983 phi   869.0
 #9: 1965 sfg   868.0
#10: 2005 bos   849.0
#11: 1982 cal   844.0
#12: 1976 bal   844.0
#13: 1989 tex   843.0
#14: 2001 atl   842.0
#15: 1987 oak   833.0
#16: 2007 nym   832.0
#17: 1956 stl   793.0
#18: 1941 bro   787.0
#19: 1986 chc   770.0
#20: 1939 det   763.0
#21: 1959 chw   759.0
#22: 2000 sea   750.0
#23: 2012 laa   748.0
#24: 2004 hou   744.0
#25: 1997 ana   724.0
#26: 1977 cin   710.0
#27: 1989 mon   705.0
#28: 1900 pit   698.0
#29: 1904 nyg   677.0
#30: 1986 kcr   659.0
#31: 2002 ari   650.0
#32: 1997 fla   640.0
#33: 1900 bsn   637.0
#34: 1970 min   629.0
#35: 1982 mil   614.0
#36: 1894 clv   603.0
#37: 2015 wsn   584.0
#38: 2007 sdp   581.0
#39: 2012 col   503.0
#40: 2010 tbr   501.0
#41: 1899 lou   496.0
#42: 1902 bla   491.0
#43: 2000 tbd   472.0
#44: 1916 slb   466.0
#45: 1967 kca   453.0
#46: 2012 mia   436.0
#47: 1895 bln   434.0
#48: 1887 dtn   381.0
#49: 1898 whs   378.0
#50: 1880 tro   358.0
#51: 1971 wsa   349.0
#52: 1889 ind   311.0
#53: 1881 buf   298.0
#54: 1885 pro   296.0
#55: 1969 sep   244.0
#56: 1901 mla   230.0
#57: 1882 wor   175.0
#58: 1885 slm   147.0
#59: 1876 har   104.0
#60: 1886 kcn    93.0
#61: 1878 mlg    69.0
#62: 1876 nyu    44.0
#63: 1876 ath    28.0
#64: 1879 syr    26.0
