Lowest peak to career WAR
Lowest peak to career WAR.
2023-02-26 17:35:50.712
19480 rows

Mike Golden                -4.4 0.2%  1 (1878-1878) MLG
Tom Fisher                -3.75 0.4%  1 (1904-1904) BSN
Dory Dean                  -3.3 0.6%  1 (1876-1876) CIN
Bill Rotes                 -3.2 0.6%  1 (1893-1893) LOU
Harry Colliflower          -2.6 1.2%  1 (1899-1899) CLV
Forrest More               -2.6 1.2%  1 (1909-1909) STL,BSN
Jim McElroy                -2.5 1.4%  1 (1884-1884) PHI
William Madigan            -2.5 1.4%  1 (1886-1886) WHS
Fred Osborne              -2.45 1.5%  1 (1890-1890) PIT
Frank Graves               -2.3 1.7%  1 (1886-1886) SLM
Bill Popp                  -2.2 1.8%  1 (1902-1902) STL
Marsh Williams            -2.15 1.9%  1 (1916-1916) PHA
John Black                -2.15 2.0%  1 (1911-1911) SLB
Charlie Heard             -2.15 2.0%  1 (1890-1890) PIT
Connie Grob                -2.1 2.1%  1 (1956-1956) WSH
Ed Bagley                 -2.05 2.2%  1 (1884-1884) NYG
Ray Hale                   -2.0 2.3%  1 (1902-1902) BLA,BSN
Frank Brill               -1.95 2.5%  1 (1884-1884) DTN
Johnny Sturm              -1.85 2.8%  1 (1941-1941) NYY
Bill Geiss                -1.85 2.8%  1 (1884-1884) DTN
George Schmees             -1.8 2.9%  1 (1952-1952) SLB,BOS
Frank Murphy              -1.75 3.0%  1 (1901-1901) NYG,BSN
Tony Daniels              -1.75 3.1%  1 (1945-1945) PHI
Bruno Haas                -1.75 3.1%  1 (1915-1915) PHA
Charlie Knepper           -1.75 3.1%  1 (1899-1899) CLV
Tony Bartirome             -1.7 3.2%  1 (1952-1952) PIT
Sumner Bowman              -1.7 3.3%  1 (1890-1890) PHI,PIT
Steve Melter               -1.7 3.3%  1 (1909-1909) STL
Charlie Sproull            -1.7 3.3%  1 (1945-1945) PHI
Troy Herriage              -1.7 3.4%  1 (1956-1956) KCA
Hank Morrison              -1.7 3.4%  1 (1887-1887) IND
Hugh Canavan               -1.7 3.4%  1 (1918-1918) BSN
Brett de Geus             -1.65 3.6%  1 (2021-2021) TEX,ARI
Frank Jude                -1.65 3.7%  1 (1906-1906) CIN
Harry Aubrey               -1.6 3.8%  1 (1903-1903) BSN
Tommy Nelson               -1.6 3.8%  1 (1945-1945) BSN
Ike Butler                 -1.6 3.9%  1 (1902-1902) BLA
Stu Flythe                 -1.6 3.9%  1 (1936-1936) PHA
Bill Jennings             -1.55 4.1%  1 (1951-1951) SLB
Gerry Pirtle              -1.55 4.1%  1 (1978-1978) MON
Carlos Tocci              -1.55 4.1%  1 (2018-2018) TEX
Ezra Lincoln              -1.55 4.2%  1 (1890-1890) CLV
Derek Bryant               -1.5 4.4%  1 (1979-1979) OAK
Juan Delis                 -1.5 4.4%  1 (1955-1955) WSH
John Matias                -1.5 4.4%  1 (1970-1970) CHW
Fritz Henrich              -1.5 4.5%  1 (1924-1924) PHI
She Donahue                -1.5 4.6%  1 (1904-1904) STL,PHI
Dominic Mulrenan           -1.5 4.6%  1 (1921-1921) CHW
Ed Wheeler                -1.45 4.7%  1 (1902-1902) BRO
George Zettlein           -1.45 4.7%  1 (1876-1876) ATH
Elvin Rodriguez           -1.45 4.7%  1 (2022-2022) DET
Red Bullock                -1.4 4.9%  1 (1936-1936) PHA
Jack Daniels               -1.4 4.9%  1 (1952-1952) BSN
Anthony Vasquez            -1.4 5.0%  1 (2011-2011) SEA
George Hesselbacher        -1.4 5.0%  1 (1916-1916) PHA
Fred House                 -1.4 5.2%  1 (1913-1913) DET
Jim Egan                   -1.4 5.1%  1 (1882-1882) TRO
Mike Bruhert               -1.4 5.2%  1 (1978-1978) NYM
Johnny Hellweg             -1.4 5.2%  1 (2013-2013) MIL
Mike Jordan                -1.4 5.2%  1 (1890-1890) PIT
